"","#","N","a","b","cp","d","g","h","NT"
"169","ExpM_cond169","200","0.14","0.39","0.14","0.3","0","0","1"
"170","ExpM_cond170","200","0.14","0.39","0.14","0.3","0","0.14","1"
"171","ExpM_cond171","200","0.14","0.39","0.14","0.3","0.14","0","1"
"172","ExpM_cond172","200","0.14","0.39","0.14","0.3","0.14","0.14","1"
"173","ExpM_cond173","200","0.14","0.39","0.14","0.5","0","0","1"
"174","ExpM_cond174","200","0.14","0.39","0.14","0.5","0","0.14","1"
"175","ExpM_cond175","200","0.14","0.39","0.14","0.5","0.14","0","1"
"176","ExpM_cond176","200","0.14","0.39","0.14","0.5","0.14","0.14","1"
"177","ExpM_cond177","200","0.14","0.39","0.14","0.8","0","0","1"
"178","ExpM_cond178","200","0.14","0.39","0.14","0.8","0","0.14","1"
"179","ExpM_cond179","200","0.14","0.39","0.14","0.8","0.14","0","1"
"180","ExpM_cond180","200","0.14","0.39","0.14","0.8","0.14","0.14","1"
"181","ExpM_cond181","200","0.39","0","0.14","0.3","0","0","1"
"182","ExpM_cond182","200","0.39","0","0.14","0.3","0","0.14","1"
"183","ExpM_cond183","200","0.39","0","0.14","0.3","0.14","0","1"
"184","ExpM_cond184","200","0.39","0","0.14","0.3","0.14","0.14","1"
"185","ExpM_cond185","200","0.39","0","0.14","0.5","0","0","1"
"186","ExpM_cond186","200","0.39","0","0.14","0.5","0","0.14","1"
"187","ExpM_cond187","200","0.39","0","0.14","0.5","0.14","0","1"
"188","ExpM_cond188","200","0.39","0","0.14","0.5","0.14","0.14","1"
"189","ExpM_cond189","200","0.39","0","0.14","0.8","0","0","1"
"190","ExpM_cond190","200","0.39","0","0.14","0.8","0","0.14","1"
"191","ExpM_cond191","200","0.39","0","0.14","0.8","0.14","0","1"
"192","ExpM_cond192","200","0.39","0","0.14","0.8","0.14","0.14","1"
"193","ExpM_cond193","200","0.39","0.14","0.14","0.3","0","0","1"
"194","ExpM_cond194","200","0.39","0.14","0.14","0.3","0","0.14","1"
"195","ExpM_cond195","200","0.39","0.14","0.14","0.3","0.14","0","1"
"196","ExpM_cond196","200","0.39","0.14","0.14","0.3","0.14","0.14","1"
"197","ExpM_cond197","200","0.39","0.14","0.14","0.5","0","0","1"
"198","ExpM_cond198","200","0.39","0.14","0.14","0.5","0","0.14","1"
"199","ExpM_cond199","200","0.39","0.14","0.14","0.5","0.14","0","1"
"200","ExpM_cond200","200","0.39","0.14","0.14","0.5","0.14","0.14","1"
"201","ExpM_cond201","200","0.39","0.14","0.14","0.8","0","0","1"
"202","ExpM_cond202","200","0.39","0.14","0.14","0.8","0","0.14","1"
"203","ExpM_cond203","200","0.39","0.14","0.14","0.8","0.14","0","1"
"204","ExpM_cond204","200","0.39","0.14","0.14","0.8","0.14","0.14","1"
"205","ExpM_cond205","200","0.39","0.39","0.14","0.3","0","0","1"
"206","ExpM_cond206","200","0.39","0.39","0.14","0.3","0","0.14","1"
"207","ExpM_cond207","200","0.39","0.39","0.14","0.3","0.14","0","1"
"208","ExpM_cond208","200","0.39","0.39","0.14","0.3","0.14","0.14","1"
"209","ExpM_cond209","200","0.39","0.39","0.14","0.5","0","0","1"
"210","ExpM_cond210","200","0.39","0.39","0.14","0.5","0","0.14","1"
"211","ExpM_cond211","200","0.39","0.39","0.14","0.5","0.14","0","1"
"212","ExpM_cond212","200","0.39","0.39","0.14","0.5","0.14","0.14","1"
"213","ExpM_cond213","200","0.39","0.39","0.14","0.8","0","0","1"
"214","ExpM_cond214","200","0.39","0.39","0.14","0.8","0","0.14","1"
"215","ExpM_cond215","200","0.39","0.39","0.14","0.8","0.14","0","1"
"216","ExpM_cond216","200","0.39","0.39","0.14","0.8","0.14","0.14","1"
"217","ExpM_cond217","500","0","0","0.14","0.3","0","0","1"
"218","ExpM_cond218","500","0","0","0.14","0.3","0","0.14","1"
"219","ExpM_cond219","500","0","0","0.14","0.3","0.14","0","1"
"220","ExpM_cond220","500","0","0","0.14","0.3","0.14","0.14","1"
"221","ExpM_cond221","500","0","0","0.14","0.5","0","0","1"
"222","ExpM_cond222","500","0","0","0.14","0.5","0","0.14","1"
"223","ExpM_cond223","500","0","0","0.14","0.5","0.14","0","1"
"224","ExpM_cond224","500","0","0","0.14","0.5","0.14","0.14","1"
"225","ExpM_cond225","500","0","0","0.14","0.8","0","0","1"
"226","ExpM_cond226","500","0","0","0.14","0.8","0","0.14","1"
"227","ExpM_cond227","500","0","0","0.14","0.8","0.14","0","1"
"228","ExpM_cond228","500","0","0","0.14","0.8","0.14","0.14","1"
"229","ExpM_cond229","500","0","0.14","0.14","0.3","0","0","1"
"230","ExpM_cond230","500","0","0.14","0.14","0.3","0","0.14","1"
"231","ExpM_cond231","500","0","0.14","0.14","0.3","0.14","0","1"
"232","ExpM_cond232","500","0","0.14","0.14","0.3","0.14","0.14","1"
"233","ExpM_cond233","500","0","0.14","0.14","0.5","0","0","1"
"234","ExpM_cond234","500","0","0.14","0.14","0.5","0","0.14","1"
"235","ExpM_cond235","500","0","0.14","0.14","0.5","0.14","0","1"
"236","ExpM_cond236","500","0","0.14","0.14","0.5","0.14","0.14","1"
"237","ExpM_cond237","500","0","0.14","0.14","0.8","0","0","1"
"238","ExpM_cond238","500","0","0.14","0.14","0.8","0","0.14","1"
"239","ExpM_cond239","500","0","0.14","0.14","0.8","0.14","0","1"
"240","ExpM_cond240","500","0","0.14","0.14","0.8","0.14","0.14","1"
"241","ExpM_cond241","500","0","0.39","0.14","0.3","0","0","1"
"242","ExpM_cond242","500","0","0.39","0.14","0.3","0","0.14","1"
"243","ExpM_cond243","500","0","0.39","0.14","0.3","0.14","0","1"
"244","ExpM_cond244","500","0","0.39","0.14","0.3","0.14","0.14","1"
"245","ExpM_cond245","500","0","0.39","0.14","0.5","0","0","1"
"246","ExpM_cond246","500","0","0.39","0.14","0.5","0","0.14","1"
"247","ExpM_cond247","500","0","0.39","0.14","0.5","0.14","0","1"
"248","ExpM_cond248","500","0","0.39","0.14","0.5","0.14","0.14","1"
"249","ExpM_cond249","500","0","0.39","0.14","0.8","0","0","1"
"250","ExpM_cond250","500","0","0.39","0.14","0.8","0","0.14","1"
"251","ExpM_cond251","500","0","0.39","0.14","0.8","0.14","0","1"
"252","ExpM_cond252","500","0","0.39","0.14","0.8","0.14","0.14","1"
"253","ExpM_cond253","500","0.14","0","0.14","0.3","0","0","1"
"254","ExpM_cond254","500","0.14","0","0.14","0.3","0","0.14","1"
"255","ExpM_cond255","500","0.14","0","0.14","0.3","0.14","0","1"
"256","ExpM_cond256","500","0.14","0","0.14","0.3","0.14","0.14","1"
"257","ExpM_cond257","500","0.14","0","0.14","0.5","0","0","1"
"258","ExpM_cond258","500","0.14","0","0.14","0.5","0","0.14","1"
"259","ExpM_cond259","500","0.14","0","0.14","0.5","0.14","0","1"
"260","ExpM_cond260","500","0.14","0","0.14","0.5","0.14","0.14","1"
"261","ExpM_cond261","500","0.14","0","0.14","0.8","0","0","1"
"262","ExpM_cond262","500","0.14","0","0.14","0.8","0","0.14","1"
"263","ExpM_cond263","500","0.14","0","0.14","0.8","0.14","0","1"
"264","ExpM_cond264","500","0.14","0","0.14","0.8","0.14","0.14","1"
"265","ExpM_cond265","500","0.14","0.14","0.14","0.3","0","0","1"
"266","ExpM_cond266","500","0.14","0.14","0.14","0.3","0","0.14","1"
"267","ExpM_cond267","500","0.14","0.14","0.14","0.3","0.14","0","1"
"268","ExpM_cond268","500","0.14","0.14","0.14","0.3","0.14","0.14","1"
"269","ExpM_cond269","500","0.14","0.14","0.14","0.5","0","0","1"
"270","ExpM_cond270","500","0.14","0.14","0.14","0.5","0","0.14","1"
"271","ExpM_cond271","500","0.14","0.14","0.14","0.5","0.14","0","1"
"272","ExpM_cond272","500","0.14","0.14","0.14","0.5","0.14","0.14","1"
"273","ExpM_cond273","500","0.14","0.14","0.14","0.8","0","0","1"
"274","ExpM_cond274","500","0.14","0.14","0.14","0.8","0","0.14","1"
"275","ExpM_cond275","500","0.14","0.14","0.14","0.8","0.14","0","1"
"276","ExpM_cond276","500","0.14","0.14","0.14","0.8","0.14","0.14","1"
"277","ExpM_cond277","500","0.14","0.39","0.14","0.3","0","0","1"
"278","ExpM_cond278","500","0.14","0.39","0.14","0.3","0","0.14","1"
"279","ExpM_cond279","500","0.14","0.39","0.14","0.3","0.14","0","1"
"280","ExpM_cond280","500","0.14","0.39","0.14","0.3","0.14","0.14","1"
"281","ExpM_cond281","500","0.14","0.39","0.14","0.5","0","0","1"
"282","ExpM_cond282","500","0.14","0.39","0.14","0.5","0","0.14","1"
"283","ExpM_cond283","500","0.14","0.39","0.14","0.5","0.14","0","1"
"284","ExpM_cond284","500","0.14","0.39","0.14","0.5","0.14","0.14","1"
"285","ExpM_cond285","500","0.14","0.39","0.14","0.8","0","0","1"
"286","ExpM_cond286","500","0.14","0.39","0.14","0.8","0","0.14","1"
"287","ExpM_cond287","500","0.14","0.39","0.14","0.8","0.14","0","1"
"288","ExpM_cond288","500","0.14","0.39","0.14","0.8","0.14","0.14","1"
"289","ExpM_cond289","500","0.39","0","0.14","0.3","0","0","1"
"290","ExpM_cond290","500","0.39","0","0.14","0.3","0","0.14","1"
"291","ExpM_cond291","500","0.39","0","0.14","0.3","0.14","0","1"
"292","ExpM_cond292","500","0.39","0","0.14","0.3","0.14","0.14","1"
"293","ExpM_cond293","500","0.39","0","0.14","0.5","0","0","1"
"294","ExpM_cond294","500","0.39","0","0.14","0.5","0","0.14","1"
"295","ExpM_cond295","500","0.39","0","0.14","0.5","0.14","0","1"
